[2026-07-08T04:35:42.728Z] GET https://fonts.googleapis.com/css2?family=Fraunces:opsz,wght@9..144,400;9..144,600;9..144,900&family=DM+Sans:wght@400;500;700&family=JetBrains+Mono:wght@400;500;700&display=swap → 200 (76ms, 1100B)
[2026-07-08T04:35:42.728Z] GET https://cdn.jsdelivr.net/pyodide/v0.26.2/full/pyodide.js → 200 (28ms, 6400B)
[2026-07-08T04:35:42.728Z] GET https://cdn.jsdelivr.net/npm/@supabase/supabase-js@2 → 200 (8ms, -1067B)
[2026-07-08T04:35:42.728Z] GET file:///Users/calvinandoh/Desktop/tech4good/js/t4g-auth.js → 200 (1ms, 8175B)
[2026-07-08T04:35:42.820Z] GET https://cdn.jsdelivr.net/pyodide/v0.26.2/full/python_stdlib.zip → pending (?ms, ?B)
[2026-07-08T04:35:42.820Z] GET https://cdn.jsdelivr.net/pyodide/v0.26.2/full/pyodide.asm.wasm → pending (?ms, ?B)
[2026-07-08T04:35:42.820Z] GET https://cdn.jsdelivr.net/pyodide/v0.26.2/full/pyodide-lock.json → pending (?ms, ?B)
[2026-07-08T04:35:42.820Z] GET https://cdn.jsdelivr.net/pyodide/v0.26.2/full/pyodide.asm.js → pending (?ms, ?B)
[2026-07-08T04:35:42.885Z] GET https://fonts.gstatic.com/s/fraunces/v38/6NU78FyLNQOQZAnv9bYEvDiIdE9Ea92uemAk_WBq8U_9v0c2Wa0KxC9TeP2Xz5c.woff2 → 200 (2ms, -815B)
[2026-07-08T04:35:42.885Z] GET https://fonts.gstatic.com/s/dmsans/v17/rP2Yp2ywxg089UriI5-g4vlH9VoD8Cmcqbu0-K6z9mXg.woff2 → pending (?ms, ?B)
[2026-07-08T04:35:42.885Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPxDcwgknk-4.woff2 → 200 (1ms, -815B)
[2026-07-08T04:35:42.886Z] GET https://fonts.gstatic.com/s/fraunces/v38/6NU78FyLNQOQZAnv9bYEvDiIdE9Ea92uemAk_WBq8U_9v0c2Wa0KxCFTeP2Xz5fU8w.woff2 → pending (?ms, ?B)
